Repository Name,Status,TypeScript,Java,C++,Python,Svelte,JavaScript,C#,C,Dart,Vue,HTML,TeX,SCSS,CSS,Dockerfile,Shell,CMake,Go,Astro,Q#,Swift,Makefile,Batchfile,PowerShell,Dogescript,Kotlin,Rust,Objective-C,Haskell,Total,
Mini-Vector-Calculator,ABANDONED,0,0,0,0,0,0,0,34951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34951,
Website-Vector-Calculator,ARCHIVED,10299,0,0,0,0,0,0,0,0,0,2797,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13689,
Leomotors,ACTIVE,3469,0,0,22421,0,3596,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,29675,
salim-bot,STALE,78909,0,0,0,0,485,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80803,
Polynomial-Problems-Generator,ARCHIVED,0,0,33793,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,682,0,0,0,0,0,0,0,34626,
Wave-Interference-Simulation,ABANDONED,0,0,0,4847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847,
Memers,ABANDONED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,353,
Discord-Polynomial-Master,ARCHIVED,0,0,0,0,0,12726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12726,
Game-That-Has-Snake,ABANDONED,0,0,0,6819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6819,
Simple-RLC-Calculator,ABANDONED,0,0,0,20196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20196,
NSM2021-SmartWheelChair-Arduino,ARCHIVED,0,0,10614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10614,
NSM2021-SmartWheelChair-MobileApp,ARCHIVED,0,0,0,0,0,0,0,0,31951,0,3745,0,0,0,0,0,0,0,0,0,404,0,0,0,0,154,0,38,0,36292,
salim-quote-delivery,ABANDONED,3939,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5369,
daily_salim_quote,ABANDONED,0,0,0,0,0,0,0,0,9348,0,3713,0,0,0,0,0,0,0,0,0,404,0,0,0,0,136,0,38,0,13639,
My-ASCII-Adventure,ARCHIVED,0,0,0,3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638,
RTX-2090-TiFy,ABANDONED,0,0,38496,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,618,0,0,0,0,0,0,41125,
Website-Vector-Calculator-2,ABANDONED,4039,0,0,0,8159,3253,0,0,0,0,406,0,3240,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20117,
dotfiles,ABANDONED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667,0,0,0,0,0,0,0,458,0,0,0,0,0,3125,
THIS-REPO-HAS-9-ISSUES,ARCHIVED,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,
Language-Stats,ARCHIVED,1421,0,0,0,0,1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3062,
Battleship-SIMP,ARCHIVED,5890,0,0,0,0,5106,0,0,0,18371,588,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31338,
my-repos,ABANDONED,4233,0,0,0,0,494,0,0,0,10508,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15929,
Terminal-Video-Player,ABANDONED,0,0,15424,0,0,0,0,3088,0,0,0,0,0,0,0,0,2069,0,0,0,0,0,0,0,0,0,0,0,0,20581,
anime-captcha,ABANDONED,7688,0,0,0,24730,3589,0,0,0,0,670,0,1285,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,38098,
